app|big|mid|small|category|brand|item_name|market_price|sale_price|discount_price|date|item_specification|act
Home|家電|洗衣機|洗衣機功能|洗脫系列|Kolin 歌林|【Kolin 歌林】12公斤單槽全自動定頻直立式洗衣機-BW-12S05(含基本運送/安裝+舊機回收)|12900|8410|7989|20221204|品牌名稱Kolin歌林類型110V單電壓定頻單槽重量11kg~15kg內槽材質不鏽鋼+塑料顏色白色產地中國大陸功能洗脫功能 |12/01~12/31家電搶go潮▼限時下殺滿1件享95折|null
Home|家電|冰箱|品牌旗艦館|全商品|Panasonic 國際牌|【Panasonic 國際牌】167公升一級能效雙門變頻冰箱-星耀金(NR-B170TV-S1)|16080|14990|13191|20221204|品牌名稱Panasonic國際牌類型雙門上下門右開變頻容量151L~200L顏色金色效能1級能效 |null|null
Home|家電|冰箱|找容量|★小空間★|SANLUX 台灣三洋|【SANLUX 台灣三洋】87L雙門電冰箱福利品(SR-C90B1)|9800|5678|null|20221204|品牌名稱SANLUX台灣三洋類型雙門上下門右開定頻容量51L~100L顏色黑色效能1級能效 |null|null
Home|家電|冰箱|找款式|定頻|TECO 東元|【TECO 東元】99公升 一級能效右開單門小冰箱(R1091W)|7690|5990|null|20221204|品牌名稱TECO東元類型單門右開定頻容量51L~100L顏色白色效能1級能效 |null|null
Home|家電|冰箱|找款式|變頻|Panasonic 國際牌|【Panasonic 國際牌】610公升一級能源效率四門變頻冰箱-皇家藍(NR-D611XV-B)|43800|42800|37664|20221204|品牌名稱Panasonic國際牌類型四門右開變頻容量601L~800L顏色藍色效能1級能效 |null|null
Home|家電|冰箱|找容量|100L以下|SAMPO 聲寶|【SAMPO 聲寶】100公升一級能效獨享系列雙門小冰箱(SR-B10G)|10888|7290|null|20221204|品牌名稱SAMPO聲寶類型雙門上下門右開定頻容量51L~100L顏色銀色效能1級能效 |null|null
Home|品牌旗艦|SANLUX台灣三洋|洗衣機/乾衣機|定頻系列|SANLUX 台灣三洋|【SANLUX 台灣三洋】12.5Kg定頻洗衣機(ASW-125MA)|11400|10200|9792|20221204|品牌名稱SANLUX台灣三洋類型110V定頻單槽重量11kg~15kg內槽材質不鏽鋼+塑料顏色白色產地中國大陸功能洗脫功能 |12/01~12/14家電搶go潮▼限時下殺滿1件享96折|null
Home|家電|洗衣機|洗衣機容量|16-20公斤|Haier 海爾|【Haier 海爾】18公斤海量洗直立式變頻洗衣機(XQB186G-TW)|21900|16900|12490|20221204|品牌名稱Haier海爾類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色銀色產地中國大陸功能洗脫功能 |12/01~12/31家電搶go潮▼限時下殺滿1件折4410|null
Home|家電|冰櫃/冷凍櫃|找款式|臥式|Frigidaire 富及第|領券87折：M4AAIGZWG2F5 富及第 226L 冷凍櫃省電型 福利品含基本安裝(FRT-2261KZR)|13998|7990|7590|20221204|品牌名稱Frigidaire富及第類型單門上掀冷凍櫃臥式容量201L~250L顏色白色功能手動除霜 |null|null
Home|品牌旗艦|Panasonic國際牌|館長推薦|新品上市|Panasonic 國際牌|【Panasonic 國際牌】7公斤落地型乾衣機-光耀灰(NH-70G-L)|9900|8590|7559|20221204|品牌名稱Panasonic國際牌類型110V電動重量6kg~10kg內槽材質不鏽鋼+塑料顏色灰色產地中國大陸 |null|null
